Y,X,OBJECTID,NOMBRE,LINEA,RULEID,OVERRIDE,ESTADO,TIPO,TIPO_EST
-75.56469784,6.290303913,457,Tricentenario,Línea A,1,,1,1,Estación
-75.56942353,6.278329421,458,Caribe,Línea A,1,,1,1,Estación
-75.56334835,6.26393719,460,Hospital,Línea A,1,,1,1,Estación
-75.56822247,6.250503559,462,Parque Berrío,Línea A,1,,1,1,Estación
-75.56970975,6.247197047,463,San Antonio,Línea A,1,,1,1,Estación
-75.57554709,6.23061541,467,Industriales,Línea A,1,,1,1,Estación
-75.57801847,6.212712849,468,Poblado,Línea A,1,,1,1,Estación
-75.55528241,6.315319592,475,Madera,Línea A,1,,1,1,Estación
-75.55338124,6.330537796,476,Bello,Línea A,1,,1,1,Estación
-75.54431178,6.337816543,477,Niquía,Línea A,1,,1,1,Estación
-75.582943,6.252978384,470,Suramericana,Línea B,1,,1,1,Estación
-75.58827777,6.253342459,471,Estadio,Línea B,1,,1,1,Estación
-75.59773582,6.258716136,472,Floresta,Línea B,1,,1,1,Estación
-75.61341926,6.256649006,474,San Javier,Línea B,1,,1,1,Estación
